Nome/Dono;	URL;	Linguagem Primaria;	Numero da Issue;	Titulo da Issue;	Data de Criacao da Issue;	Data de Fechamento da Issue;	Data de Criacao do Repositorio;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	10;	Program plugin doesn't work in XP.;	2014-01-06T13:25:01Z;	2014-01-06T13:26:02Z;	2013-12-19T15:49:32Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	1;	Baml decompiler;	2015-07-01T16:43:31Z;	2015-11-07T11:24:34Z;	2015-07-01T16:05:10Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	2;	Edit resources;	2015-07-01T18:34:59Z;	2015-07-13T16:27:07Z;	2015-07-01T16:05:10Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	3;	Loaded assembly is locked;	2015-07-02T03:50:39Z;	2015-07-03T10:13:24Z;	2015-07-01T16:05:10Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	4;	Replace the IL code of the method body with code;	2015-07-02T20:50:16Z;	2016-08-22T17:12:46Z;	2015-07-01T16:05:10Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	5;	Inconsistent forecolor on strip for dark theme;	2015-07-03T20:23:32Z;	2015-07-03T22:14:32Z;	2015-07-01T16:05:10Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	6;	Decompilation trouble;	2015-07-05T14:50:18Z;	2015-07-05T18:04:47Z;	2015-07-01T16:05:10Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	7;	Crash when delete all assembly from list.;	2015-07-07T02:25:29Z;	2015-07-07T05:23:24Z;	2015-07-01T16:05:10Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	8;	All unicode chars support;	2015-07-07T15:02:02Z;	2015-07-13T16:34:08Z;	2015-07-01T16:05:10Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	9;	Analyze does not work when it's a netmodule;	2015-07-08T12:52:33Z;	2015-07-10T14:54:21Z;	2015-07-01T16:05:10Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	10;	Renaming namespaces;	2015-07-16T20:44:49Z;	2015-07-19T21:54:37Z;	2015-07-01T16:05:10Z;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	2;	LICENSE file;	2016-09-30T15:32:01Z;	2016-10-05T00:02:35Z;	2016-09-30T11:53:17Z;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	3;	How to run / develop this project;	2016-09-30T17:37:29Z;	2017-08-18T18:49:04Z;	2016-09-30T11:53:17Z;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	8;	'Summer' Tileset Origin;	2016-10-01T03:25:46Z;	2016-10-03T14:07:01Z;	2016-09-30T11:53:17Z;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	11;	Unhandled Exception: System.Exception: 0.0001 is not a valid value for Single;	2016-10-01T17:05:39Z;	2016-10-05T02:59:29Z;	2016-09-30T11:53:17Z;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	14;	Bug: For some examples, model.Run() returns true when false is expected;	2016-10-01T21:13:54Z;	2016-10-03T14:10:47Z;	2016-09-30T11:53:17Z;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	19;	Non-deterministic enumeration of weights in OverlappingModel;	2016-10-03T03:01:07Z;	2016-10-05T02:55:20Z;	2016-09-30T11:53:17Z;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	20;	Code cleanup suggestion;	2016-10-03T15:32:06Z;	2016-10-05T03:04:07Z;	2016-09-30T11:53:17Z;
